time,city,state,shape,duration,summary,posted,lat,lon
05/14/2014 17:45,Homer,AK,Other,5 minutes,Plane seems to disappear over Kachemak Bay.,06/04/2014,59.6425,-151.5483333
05/13/2014 02:00,Anchorage,AK,Changing,2 hours,Moved spuratically and continued back & forth and from side to side Lights were reddish and clear for a few seconds would show no light,06/04/2014,61.2180556,-149.9002778
05/10/2014 21:00,Irving,AK,Circle,15 mintues,"Was circling a star and then moved away and disappeared, minutes later saw another one and a jet following the object.",06/04/2014,32.8140177,-96.9488945
05/05/2014 16:00,Anchorage,AK,,3+ hours,UFO hiding in moving mist/cloud over Cook Inlet.,05/08/2014,61.2180556,-149.9002778
04/19/2014 22:15,Anchorage,AK,Flash,3-5 minutes,"Brightly flashing high speed spherical object moving at very low altitude across the mountains, moving sporadically at first.",04/24/2014,61.2180556,-149.9002778
04/19/2014 00:04,Kodiak,AK,Sphere,1 minute,Red light over Kodiak.,04/24/2014,57.79,-152.4072222
04/14/2014 22:45,Wasilla,AK,Triangle,1 minute,3 red-orange lights on low flying UFO(s) off Parks Hwy in Wasilla in triangle formation.,04/18/2014,61.5813889,-149.4394444
04/11/2014 21:30,Ketchikan,AK,Fireball,2 minutes,"Fireball like object seen above the small island city of Ketchikan, Alaska.",04/18/2014,55.3422222,-131.6461111
04/09/2014 11:30,Kenai,AK,Light,2 hours,Strange fast moving lights high in the sky,04/11/2014,60.5544444,-151.2583333
04/02/2014 11:00,Kenai,AK,Oval,60 seconds,Bright white oval seemed to come out of nowhere and hovered silently towards the mount Redoubt area,04/04/2014,60.5544444,-151.2583333
03/31/2014 02:30,Wasilla,AK,Triangle,15 minutes,Triangle craft silently maneuvering over Wasilla at 230 am,04/11/2014,61.5813889,-149.4394444
03/29/2014 20:45,Anchorage,AK,Cigar,15 seconds,I explained away the first time I thought I seen this object but twice weeks apart...I'm certain now,04/04/2014,61.2180556,-149.9002778
03/28/2014 11:30,Chugiak,AK,Light,1 minute,Lights in sky.  Flying objects.,04/04/2014,61.388889,-149.481944
03/28/2014 11:17,Wasilla,AK,Changing,~60 minutes,Red and white lights on UFO.,04/04/2014,61.5813889,-149.4394444
03/28/2014 11:03,Bethel,AK,Triangle,13 minutes,Triangle shaped and bright orange.,04/04/2014,40.611167,-122.3549509
03/25/2014 22:00,Clam Gulch,AK,Sphere,20 minutes,"Lights in sky above Cook Inlet, Alaska.",03/27/2014,60.2311111,-151.393611
03/25/2014 22:00,Nikiski,AK,Light,10 minutes,6 orange independently flying lights.,03/27/2014,60.6902778,-151.2888889
03/12/2014 23:30,Ninilchik,AK,Circle,10 minutes,4 ufo's lights over Cook Inlet.,04/04/2014,60.0513889,-151.6688889
03/03/2014 19:02,Ward Cove,AK,Diamond,22 seconds,"After dark, object at extreme altitude, flashing in response to spotlight, changing course, blacking out-then back on.",03/18/2014,55.4119444,-131.7227778
03/02/2014 01:00,Butte,AK,Light,4 minutes,"Clear skies, 3 amber lights overhead for 4 minutes fading out or shooting away one by one.",04/11/2014,46.0038232,-112.5347776
03/01/2014 00:00,Anchorage,AK,Light,2-3 minutes,9 red dots hovering  low in the sky moving very slowly to the west.,03/18/2014,61.2180556,-149.9002778
02/23/2014 19:45,Anchorage,AK,Light,5-10 minutes,2 Unidentified Orange Lights above Anchorage.,02/27/2014,61.2180556,-149.9002778
02/21/2014 23:30,Palmer,AK,Light,5 minutes,Orange/Amber lights over the Hatcher Pass area.,02/27/2014,39.5751584,2.6536742
02/21/2014 00:00,Anchorage,AK,Oval,4 seconds,Luminescent oval shaped craft flies over Kincaid Park.,03/18/2014,61.2180556,-149.9002778
02/19/2014 03:00,Anchorage,AK,Flash,1 minute,Red Flashing UFO Hovering and slowly moving right to left.,02/27/2014,61.2180556,-149.9002778
01/31/2014 22:00,Anchorage,AK,Cylinder,15 minutes,"Bright orange lights, moving slowly up from the ground, hovering and moving away to the SW.",02/07/2014,61.2180556,-149.9002778
01/14/2014 23:00,Talkitna,AK,,3 seconds,"This is one you can see for yourself. TV show on IDHD Channel. ""Ice Cold Killers"" Season 2 episode2 &quot;fear Thy Neighbor&q",01/16/2014,62.3209046,-150.1066221
12/31/2013 23:00,Fairbanks,AK,Light,2 minutes,Orange light floating in night sky.,01/10/2014,64.8377778,-147.7163889
12/31/2013 20:28,Eagle River,AK,Other,~6 minutes,"Orange lights hovering in v formation, change formation and fade away over the Glenn Hwy.",01/10/2014,45.9171763,-89.2442988
12/31/2013 01:00,Fairbanks,AK,Light,5-10 minutes,Six orange lights three differnt times from New Years Eve 11 pm to New Years Day 12:30 am.,03/18/2014,64.8377778,-147.7163889
12/26/2013 18:21,Anchorage,AK,Unknown,5 minutes,Orange light in sky approaching from southeast.  Steady trajectory.,01/10/2014,61.2180556,-149.9002778
12/23/2013 22:22,Anchorage,AK,Circle,10 seconds,"At least 40 round red orbs hovering in formation above the hillside, disappeared quickly.",01/10/2014,61.2180556,-149.9002778
12/23/2013 22:11,Anchorage,AK,Light,5 minutes,stationary amber/orange colored lights over Anchorage.,01/10/2014,61.2180556,-149.9002778
12/23/2013 21:15,Wasilla,AK,Fireball,10 seconds,Orange fireball looking object moving fluidly across sky over Wasilla moving fast enough to appear propelled. Stopped and then disappea,01/10/2014,61.5813889,-149.4394444
12/22/2013 18:00,Soldotna,AK,Light,1 second (each),Orange flashes of light in different areas.,12/23/2013,60.4877778,-151.0583332
12/19/2013 16:00,Anchorage,AK,Circle,~5 minutes,"Two large, bright red, circular objects falling out of the sky over Elmendorf AFB.",12/23/2013,61.2180556,-149.9002778
12/14/2013 18:50,Anchorage,AK,Flash,Seconds,Strange flash in the sky.,12/23/2013,61.2180556,-149.9002778
12/12/2013 22:30,North Pole,AK,Flash,2-3 seconds,Dim flash of orange lasting a few seconds that came from above and illuminated 30 ft. trees.,12/23/2013,90,0
12/11/2013 08:25,Anchorage,AK,Fireball,2 seconds,Anchorage meteor ufo Spenard area.,12/12/2013,61.2180556,-149.9002778
12/10/2013 23:50,Anchorage,AK,Light,3 minutes,Red light with yellow edges pulsating and stationary to the south of Anchorage just below overcast cloud cover which provided me with a,12/12/2013,61.2180556,-149.9002778
12/10/2013 23:15,Fairbanks,AK,Unknown,7-14 seconds,"Brights orange lights flashing, and disappeared out of sky instantly",12/23/2013,64.8377778,-147.7163889
12/09/2013 21:00,North Pole,AK,Flash,3-5 seconds,"Bright orange flashes lasting only a few seconds in North Pole, Alaska.",12/12/2013,90,0
12/05/2013 17:04,Ketchikan,AK,Light,16 minutes,Light stayed over airport and slowly went left to right. Then it got really bright and dimmed and was gone.,12/12/2013,55.3422222,-131.6461111
11/20/2013 18:00,Kuparuk,AK,Light,5 seconds,White blue light in sky appears and hyperdrives away like it never happened.,12/02/2013,70.416667,-148.916667
11/18/2013 21:00,Palmer,AK,Cylinder,20 minutes,"Large orange cylindrical object flying over and near Pioneer Peak Alaska (6,000 ft in elevation)",11/20/2013,39.5751584,2.6536742
11/10/2013 19:30,Palmer,AK,Fireball,20 minutes,It's snowing hard our first real snow of the season... I went in the kitchen and happened to glance out the window and I saw these fire,11/11/2013,39.5751584,2.6536742
11/08/2013 23:00,Fairbanks,AK,Unknown,,Saw bright orange and blue lights above on civilian side of birch hill while at viewing spot with friends.,12/12/2013,64.8377778,-147.7163889
11/05/2013 18:05,Wasilla,AK,Disk,2 minutes,"One object flying east to west over Wasilla area...Well lit displaying bright white, green and red colors. Flying very erratically.",11/11/2013,61.5813889,-149.4394444
11/02/2013 20:23,Wasilla,AK,Disk,5 minutes,"A UFO was photographed, but Men in Black came and confiscated the evidence.",11/11/2013,61.5813889,-149.4394444
10/31/2013 20:30,Fairbanks,AK,Diamond,3 minutes,UFO seen over civilian side of Birch Hill.,11/11/2013,64.8377778,-147.7163889
10/23/2013 20:00,Anchorage,AK,Circle,15 minutes,"Approx. 12 orange orbs moving across the sky from the NW to the SE , moving towards outer space.",11/11/2013,61.2180556,-149.9002778
10/23/2013 18:00,Anchorage,AK,Light,2-3 minutes,Driving on Fort Richardson saw 1 orange bright light above Arctic valley that appeared droped disapered then reappeared .,11/11/2013,61.2180556,-149.9002778
10/12/2013 14:35,Kodiak,AK,Other,5 minutes,Huge and change of vector into sky.,10/14/2013,57.79,-152.4072222
10/05/2013 02:55,Anchorage,AK,Unknown,30 seconds,Weird occurrence over Anchorage,10/14/2013,61.2180556,-149.9002778
10/04/2013 21:55,Fairbanks,AK,Fireball,3 minutes,I saw 5 red glowing orbs,10/14/2013,64.8377778,-147.7163889
10/04/2013 20:00,Fairbanks,AK,Circle,10 minutes,Strange orange lights moving unnaturally across the sky.,10/14/2013,64.8377778,-147.7163889
09/29/2013 21:30,Fairbanks,AK,Light,5-7 minutes,2 orange orbs fly south over chena ridge,09/30/2013,64.8377778,-147.7163889
09/28/2013 21:10,North Pole,AK,Light,15,Orange lights orbiting above Fairbanks/North Pole Alaska,09/30/2013,90,0
09/24/2013 20:35,Fairbanks,AK,Circle,~2 minutes,3 white orbs. 2 in front 1 behind.,09/30/2013,64.8377778,-147.7163889
09/21/2013 21:20,Anchorage,AK,Oval,3 minutes,Was red and orange balls floating and soaring brightly lit all running straight line from north to south,09/30/2013,61.2180556,-149.9002778
09/05/2013 22:00,Fairbanks,AK,Disk,5 minutes,HUGE SAUCER FLYING INTO FORT WAINRIGHT,09/30/2013,64.8377778,-147.7163889
08/30/2013 04:00,Palmer,AK,Circle,15 minutes,Orange circles above Palmer.,08/30/2013,39.5751584,2.6536742
08/07/2013 21:30,Fairbanks,AK,Diamond,1 minute,Diamond shaped UFO near Fairbanks Airport.,09/30/2013,64.8377778,-147.7163889
07/25/2013 01:15,Kodiak,AK,Triangle,2-3 minutes,Three white lights triangular shape seen over Pillar Mountain Kodiak Alaska.,08/30/2013,57.79,-152.4072222
07/22/2013 03:13,Sterling,AK,,a few seconds,"3 stationary bright, white lights in a triangle shape in the eastern sky.",07/22/2013,39.0066993,-77.4291298
06/05/2013 01:20,Angoon,AK,Sphere,10 minutes,"One appeared first at 1:20 am; hovered in place for about two minutes before heading north, was joined by a second light.",07/03/2013,57.5033333,-134.5838889
03/16/2013 23:30,Wasilla,AK,Circle,~5 mintues,"Large group of red, round lights seen by several groups of people in Wasilla, AK during high aurora activity.",05/15/2013,61.5813889,-149.4394444
03/16/2013 23:20,Wasilla,AK,Triangle,4-5 minutes,ON 3/16/2013 AT 23:20 SEEN NORTHERN LIGHTS THROUGH WINDOW WHILE GETTING READY FOR BED. WENT OUTSIDE TO ENJOY THE SHOW AND TOLD MY GIRLF,05/15/2013,61.5813889,-149.4394444
03/16/2013 05:10,North Pole,AK,Light,1 minute,Two lights in the sky moving opposet each other not making sound,05/15/2013,90,0
03/03/2013 18:30,Bethel,AK,Circle,2 minutes,Bizarre red light(globes) movements in the sky.,04/12/2013,40.611167,-122.3549509
03/01/2013 21:00,Palmer,AK,Circle,1 minute,Vertical string of 5 orange lights in the sky.,03/03/2013,39.5751584,2.6536742
02/23/2013 21:30,Palmer,AK,Light,1 minute,Noticed an orange glowing light in the sky. It was not moving and the sky was very overcast. It disappeared after about a minute.,02/28/2013,39.5751584,2.6536742
01/19/2013 21:00,Fairbanks,AK,Fireball,2 minutes,4 Balls of Fire Dance in The Northern Sky,06/02/2013,64.8377778,-147.7163889
01/07/2013 01:50,Anchorage,AK,,still on,There are a 5-7 lights higher than a passenger plane but they are blinking; thought they may have been satellites.,02/04/2013,61.2180556,-149.9002778
01/01/2013 01:00,Delta Junction,AK,Triangle,2 minutes,"2 UFO's bright orange lights in Delta Junction, Alaska",02/04/2013,64.0377778,-145.7322222
12/28/2012 19:30,Eagle River,AK,Oval,instant,"Cloud colored but clearly definable with no lights, girlfriend and I both exclaimed at the same time on the size and speed of the objec",02/04/2013,45.9171763,-89.2442988
12/26/2012 07:40,Fairbanks,AK,Triangle,10,Fairbanks Alaska Ufo Sighting Over Birtch Hill.,02/04/2013,64.8377778,-147.7163889
12/25/2012 16:30,Fairbanks,AK,Oval,2 minutes,2 oval shaped bright reddish with yellow to white leading light fire balls in sky over fairbanks.,02/04/2013,64.8377778,-147.7163889
12/19/2012 19:00,Homer,AK,Fireball,5 minutes,"Saw reddish orange circles in the sky over the bay in Homer, AK.",12/21/2012,59.6425,-151.5483333
12/14/2012 08:20,Wasilla,AK,Fireball,,"Saw 4 glowing red orange dots falling in formation in Palmer, Alaska.",12/20/2012,61.5813889,-149.4394444
11/25/2012 19:50,Anchorage,AK,Light,90 minutes,Object emitted another object.,12/20/2012,61.2180556,-149.9002778
11/22/2012 19:05,Fairbanks,AK,Light,~3 minutes,Unidentified orange lights over Fairbanks Alaska.,12/20/2012,64.8377778,-147.7163889
11/14/2012 21:00,Anchorage,AK,Disk,~5 minutes,"Saucer with bright lights, then spiky halo in colors, over Cook Inlet, Anchorage.",11/19/2012,61.2180556,-149.9002778
11/09/2012 22:00,Ketchikan,AK,Light,2 hours,Square formation of 4 lighthouse like beacons rotating in sequence clockwise.,11/19/2012,55.3422222,-131.6461111
11/08/2012 16:30,Ketchikan,AK,Light,15-20 seconds,White light flew across sky and then shot strait up faded to red and dissapeared,11/19/2012,55.3422222,-131.6461111
11/07/2012 19:45,Wasilla - Susitna Delta,AK,Light,2 minutes,"6 orange orbs hovering north east of Wasilla, Alaska and 1orange orb traveling west over Susitna river delta.",11/19/2012,61.623501,-149.3319173
11/04/2012 19:15,Anchorage,AK,Light,3-5 minutes,"3 orange ""stars,"" brighter than reg stars in a hazy night sky.  non-moving then fading out. triangle formation.",11/19/2012,61.2180556,-149.9002778
11/02/2012 22:30,Soldotna,AK,Flash,10 minutes,3 bright consecutive flashes of light.,11/04/2012,60.4877778,-151.0583332
11/02/2012 22:00,Homer,AK,Flash,20 minutes,Strobe light,11/19/2012,59.6425,-151.5483333
10/31/2012 20:36,Anchorage,AK,Light,1 minute,White stationary light over the mountains changed to purple then back to white and then back to purple then it fell like a shooting sta,11/04/2012,61.2180556,-149.9002778
10/27/2012 06:00,Anchorage,AK,Triangle,30 minutes,"Flashing lights, triangular. Star sized, clear night, 2 witnesses.",11/04/2012,61.2180556,-149.9002778
10/26/2012 23:10,Eagle River,AK,Light,2 minutes,"Bright, orange stationary object flickering in night sky; pieces came off object and fell towards ground.",10/30/2012,45.9171763,-89.2442988
10/26/2012 00:00,Tanacross,AK,Light,all night,"Seen a triangle light at first, then it moved out ward and it looked like a spider like star. several star light objects flying around",10/30/2012,63.3852778,-143.3463889
10/25/2012 23:00,North Pole,AK,Light,15 seconds,It was late at night and me and my mother were taking our dog out. It was late at night so the sky was almost pitch black with but a fe,12/20/2012,90,0
10/21/2012 18:30,Anchorage,AK,Cylinder,30 seconds,"Cylindrical lights, Anchorage",10/30/2012,61.2180556,-149.9002778
10/20/2012 23:00,Anchorage,AK,Light,20+ minutes,"3 bright lights (same hew as the stars) darting around the area of the Big Dipper, 2 seemed to be ""attacking"" the 1",10/30/2012,61.2180556,-149.9002778
10/18/2012 21:30,Fairbanks,AK,Light,5-10 minutes,"Changing light from bright to dim, to off to blue/red",10/30/2012,64.8377778,-147.7163889
10/12/2012 21:05,Anchorage,AK,Fireball,10 seconds,Short rocket-like fireball near air force base.,10/30/2012,61.2180556,-149.9002778
10/02/2012 21:30,Anchorage,AK,Formation,7 minutes,25 to 35 light orange orbs in sky...not flares,10/30/2012,61.2180556,-149.9002778
09/29/2012 21:20,Anchorage,AK,Light,1 hour,Jesus Christ enlighten us.,10/30/2012,61.2180556,-149.9002778
09/23/2012 06:00,Savoonga,AK,Light,2 minutes,"One object hovering around Savoonga, ak. Sevral sightings this month.",09/24/2012,63.6941667,-170.4788888
09/08/2012 19:00,Wasilla,AK,Sphere,5 minutes,Red Dancing Orb with Orange colored bottom.,09/24/2012,61.5813889,-149.4394444
09/07/2012 23:00,Willow,AK,Fireball,5 minutes,Several orange glowing balls in single line 1/4-1/2 mile apart.  West to East around Hatcher Pass,09/24/2012,61.7386111,-150.0727777
09/03/2012 21:57,Fairbanks,AK,Unknown,2 minutes,Metallic sounds and bright flash of light - Seen from indoors with blinds shut,09/24/2012,64.8377778,-147.7163889
08/28/2012 09:00,Anchorage,AK,Light,5 minutes,2 bright lights over Anchorage,09/24/2012,61.2180556,-149.9002778
07/25/2012 01:15,Anchorage,AK,Other,5 minutes,Black mass in Anchorage.,08/05/2012,61.2180556,-149.9002778
07/18/2012 01:00,Homer,AK,Light,20 or 30 minutes,"Multiple lights executing strange maneuvers by darting back and forth, blinking on and off and moving in geometric patterns.",05/08/2014,59.6425,-151.5483333
07/18/2012 01:00,Homer,AK,Light,20 or 30 minutes,"Multiple lights executing strange maneuvers by darting back and forth, blinking on and off and moving in geometric patterns.",08/19/2012,59.6425,-151.5483333
05/19/2012 20:30,Anchorage,AK,Triangle,2 minutes,"UFO between our neighbors house and ours in Anchorage, Alaska.",04/11/2014,61.2180556,-149.9002778
04/28/2012 01:00,Eagle River,AK,Fireball,10 minutes,Stationary Silent burning ball of fire from approximately 100 feet.,07/04/2012,45.9171763,-89.2442988
04/06/2012 22:50,Bethel,AK,Circle,30 seconds,Orange circle of light moving from SE to NW.,04/18/2012,40.611167,-122.3549509
03/12/2012 21:45,Palmer,AK,Sphere,40 seconds,Brightly lit orange in color orb.,03/16/2012,39.5751584,2.6536742
03/03/2012 22:15,Bethel,AK,Light,5-10 minutes,Orange/Reddish Lights,03/13/2012,40.611167,-122.3549509
03/02/2012 19:30,Anchorage,AK,Light,10-15 minutes,Several red lights with no sound ascending to the sky in Alaska,03/13/2012,61.2180556,-149.9002778
02/12/2012 04:30,Metlakatla,AK,Disk,,4 year old son sees and draws flying saucer.  ((NUFORC Note:  Sincere and credible witness.  PD)),03/13/2012,55.1291667,-131.5722222
02/11/2012 19:10,Fairbanks,AK,Light,15 minutes,"We saw 6-7 craft move from SE to NW, with very bright orange/yellow lights and no sound.",03/13/2012,64.8377778,-147.7163889
02/10/2012 18:00,Haines,AK,Diamond,30 minutes and longer,"A bright multi-color flashing object soared across night sky, until it made an abrupt stop, only to roam around in any direction",03/13/2012,59.2358333,-135.445
01/23/2012 19:30,Anchorage,AK,Sphere,2 minutes,Red lights in line formation coming over the mountains in Anchorage Alaska.,01/24/2012,61.2180556,-149.9002778
01/22/2012 20:15,Anchorage,AK,Unknown,10 min,5 orange/red balls equally apart moving south in Ancorage AK at 815ish pm on 1/22/2012,01/24/2012,61.2180556,-149.9002778
01/01/2012 19:30,Anchorage,AK,Sphere,5 min,Five glowing lights traveling at slow speeds without engine noise.,01/12/2012,61.2180556,-149.9002778
01/01/2012 00:01,Anchorage,AK,Light,about 1.5 minutes,"New Years morning 2012. 5 lights by southern mountains outside Anchorage, AK",01/12/2012,61.2180556,-149.9002778
12/30/2011 04:47,North Pole,AK,Triangle,8 min,"Triangle shaped, orange and yellow light. moving in erratic behavior for about  8 min.",01/12/2012,90,0
12/24/2011 02:00,Fairbanks,AK,Sphere,1 hour,Bright Orb/Sphere with pulsating blue and red lights hovering with jerky motion.  ((NUFORC Note:  Sighting of Sirius??  PD)),01/12/2012,64.8377778,-147.7163889
12/04/2011 21:17,Anchorage,AK,Light,2 seconds,"Point of light appears to fall, maneuvers, vanishes",12/12/2011,61.2180556,-149.9002778
11/23/2011 11:00,Anchorage,AK,Circle,01100,"This incident took place on 11-23-11, I had just passed Alaska Regional Hospital and was heading West on Debarr Rd. and had just crosse",12/12/2011,61.2180556,-149.9002778
11/11/2011 20:10,Fairbanks,AK,Circle,5 min.,Red lights moving slowly.,12/12/2011,64.8377778,-147.7163889
10/23/2011 20:45,Wasilla,AK,Sphere,30 mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period.  ((NUFORC Note:  Star or planet?  Possibly Jupiter?  PD)),10/25/2011,61.5813889,-149.4394444
10/23/2011 20:45,Wasilla,AK,Sphere,30mins,Fake Star above Wasilla 10-23-11 Only visible light in the sky Period.,12/12/2011,61.5813889,-149.4394444
10/21/2011 21:00,Anchorage,AK,Circle,5 minutes,"Orange circles ""climbing"" then fading away",10/25/2011,61.2180556,-149.9002778
09/11/2011 09:00,Wasilla,AK,Triangle,a few seconds,a tiangle shaped craft with yellow lights below flew over.,10/10/2011,61.5813889,-149.4394444
05/11/2011 21:00,Alaska cruise (Norwegian Star),AK,Light,30 min,"Strange light in the sky , outside Juneau, Alaska.",06/12/2011,64.2008413,-149.4936733
04/04/2011 04:00,Wasilla,AK,Circle,1-5 minutes,White circle looking light that gets really bright then fades away as its moving across the sky.,05/02/2011,61.5813889,-149.4394444
03/26/2011 21:00,Seward,AK,Light,5 mins,"String of 9 bright lights, orange in color seen at mile 5-6 of Seward Highway moving slowly south.",04/03/2011,60.1041667,-149.4422222
03/15/2011 00:03,Hooper Bay,AK,Unknown,3-5 minutes,I observed an aircraft flying above our town at low altitudes at varying speeds and the aircraft did not make any noticible sound.,03/23/2011,61.5311111,-166.0966666
03/07/2011 21:00,Ninilchik,AK,Light,2 hours so far,"two bright spots,very close together. rays of color shooting to all sides,stayed in same spot on horizon",03/10/2011,60.0513889,-151.6688889
02/11/2011 08:00,Fairbanks,AK,Unknown,20 min,"UFO's sighted Fairbanks/Murphy Dome Feb.11, 2011 8:00am",02/18/2011,64.8377778,-147.7163889
01/08/2011 17:20,Juneau,AK,Light,about 10 min,Bright silent object seen traveling in night sky,01/31/2011,58.3019444,-134.4197222
01/05/2011 20:00,North Pole,AK,Triangle,20 minutes,It was dark and we noticed six circular lights in a triangular formation pretty high up in the sky moving pretty slow from the south we,01/24/2012,90,0
01/03/2011 22:30,Savoonga,AK,Light,15 seconds,Didn't see the object it was very cloudy but it had a beam of light sort of like spot light aimed to the ground & traveled about 60yds,05/13/2012,63.6941667,-170.4788888
12/31/2010 21:00,Wasilla,AK,Sphere,2 minutes,"Two red/orange lights suddenly appeared over our neighborhood New Years Eve, hovered for a few minutes, then dimmed and were gone.",01/05/2011,61.5813889,-149.4394444
12/31/2010 20:10,Anchorage,AK,Light,5 minutes,Two small orange lights flying over Anchorage,01/05/2011,61.2180556,-149.9002778
12/16/2010 12:00,Anchorage,AK,Circle,Dabarr,What The Hell Is that in the sky??  ((NUFORC Note:  Possible hoax??  PD)),01/05/2011,61.2180556,-149.9002778
11/19/2010 16:10,Juneau,AK,Fireball,60 seconds,"Missile like fireball seen in Juneau, Alaska.",11/21/2010,58.3019444,-134.4197222
10/08/2010 01:30,Anchorage,AK,Triangle,15min,Silent Objects over Anchorage Alaska while northern lights were out.,11/21/2010,61.2180556,-149.9002778
09/23/2010 07:00,Seward,AK,Cone,unknown,Photograph of unidentified object,07/04/2011,60.1041667,-149.4422222
08/07/2010 00:30,North Kenai (Daniels Lake; east end),AK,Light,1 hour,Around 0:30 began seeing flickering flashlight type light through leaves of trees. ((NUFORC Note:  Possible sighting of Jupiter.  PD)),08/24/2010,60.7278979,-151.1845326
08/06/2010 18:00,Anchorage,AK,Circle,1 MINUTE,"UFO APPEAR'S OVER ANCHORAGE ALASKA 80,000 FT. LOOK'S LIKE A BB & NO MOVEMENT",11/21/2010,61.2180556,-149.9002778
06/25/2010 10:22,Elk,AK,,2-3 minutes,Odd brightly lit object object observed silently flying in a wavering flight path.west to east in eastern Washington state.,07/06/2010,53.8280529,22.3646629
05/29/2010 09:45,Prince William Sound,AK,Unknown,6 minutes,This occurred on Memorial Day weekend 2010 on a Halibut fishing charter in Prince Williams Sound.  We arrived @ Smith Island approx. 9A,09/24/2012,60.6905448,-147.0970548
05/21/2010 00:26,Palmer,AK,Sphere,10 minutes,"At about 12:27am on the 21st of May, while getting ready for bed and all was quiet, I heard the same sound I heard in mid-March when I",06/03/2010,39.5751584,2.6536742
01/12/2010 21:30,Metlakatla,AK,Disk,,Saucer behind car 2 visible red lights in the middle of saucer,02/14/2010,55.1291667,-131.5722222
01/01/2010 12:01,Willow,AK,Sphere,10-11 min,4 redishorange shpereiodical objects appear during 2010 fireworks show hover around then disappear  500 Lights On Object0: Yes,02/14/2010,61.7386111,-150.0727777
01/01/2010 00:20,Anchorage,AK,Light,one minute,"Upper atmosphere object moving south, becoming stationary and later moving east at a high rate of speed.",05/15/2013,61.2180556,-149.9002778
01/01/2010 00:01,Willow,AK,Formation,7 min,four orange red objects suddenly appear 12:01 am new years move north then south and dissapear,02/14/2010,61.7386111,-150.0727777
12/26/2009 17:30,Bethel,AK,Disk,1.5 MINUTES,Large fireball-like red/orange disc low in the sky and moving slowly right to left. Soundless.  Clear night.,02/14/2010,40.611167,-122.3549509
12/02/2009 21:20,Fort Greely,AK,Triangle,10 seconds,Look those coordinates on google earth ;) :0,02/14/2010,63.905,-145.554444
12/01/2009 16:00,Kaktovik,AK,Light,30 minutes,Three lights dancing around each other,12/12/2009,70.1319444,-143.6238889
09/03/2009 22:30,Healy,AK,Light,1+ hours,"Objects in night sky over Healy, AK moving at high speeds and changing directions instantaneously.",12/12/2009,63.8697384,-149.0215109
08/28/2009 23:00,Anchorage,AK,Formation,20 minutes,Odd Cloud Formation Lit Up and Moving Toward and Away from us.,12/12/2009,61.2180556,-149.9002778
08/08/2009 23:40,Homer,AK,Oval,30-40 seconds,Single light changing to multiple lights and back,08/27/2009,59.6425,-151.5483333
07/29/2009 13:00,North of Pt. Barrow,AK,Disk,45 Minutes,We saw Six Disk Shaped Aircraft while Staioned in the USAF in Alaska,04/13/2010,71.3875,-156.4811111
06/27/2009 02:30,Juneau,AK,Triangle,10 seconds,Triangular shaped craft with red lights seen lowering from the sky.,08/05/2009,58.3019444,-134.4197222
05/25/2009 20:00,Anchorage,AK,Disk,10-15min,black/silver disc over anchorage alaska,06/09/2009,61.2180556,-149.9002778
05/09/2009 02:30,Eagle River,AK,,1 minute,"I was walking home from a friends house.  While walking, I noticed two objects; which, appeard to be stars. There was a construction wa",05/12/2009,45.9171763,-89.2442988
03/31/2009 23:00,Fairbanks,AK,Light,10 min or so,"UFO's in Fairbanks, Alaska",04/14/2009,64.8377778,-147.7163889
02/20/2009 22:00,Fairbanks,AK,Light,3-4 seconds,Bright green light,03/19/2009,64.8377778,-147.7163889
01/24/2009 18:00,Fairbanks,AK,Oval,a little more than a week,"Bright light high above my town, very peculiar looking when viewed through a telescope.  ((NUFORC Note:  Venus??  PD))",03/19/2009,64.8377778,-147.7163889
01/20/2009 19:15,Wasilla,AK,Triangle,15 minutes,"3 lights low on north horizon outside of Wasilla, AK 01/20/09 @ 7:15pm local time.",03/19/2009,61.5813889,-149.4394444
01/02/2009 21:00,Venetie,AK,Circle,5 min.,"southeast of venetie,alaska 99781 object setting about 500 feet above the ground with red and green light for about 5 minutes in one pl",01/10/2009,45.4408474,12.3155151
01/01/2009 01:15,Bethel,AK,Other,15 minutes,Possible Bethel UFO sighting,01/10/2009,40.611167,-122.3549509
12/29/2008 15:00,Fairbanks,AK,Unknown,seconds,the light was very bright and had a very large vapor trail,01/10/2009,64.8377778,-147.7163889
10/03/2008 20:00,Kodiak,AK,Light,almost ten whole minutes,"didn't behave like a toy helicopter, hikers or hunters",10/31/2008,57.79,-152.4072222
07/03/2008 16:40,Fairbanks,AK,Unknown,2 minutes,White oblong object moving fast through clear sky and fades into the blue.,07/05/2008,64.8377778,-147.7163889
06/23/2008 15:00,Anchorage,AK,Teardrop,2-3 minutes,rotating teardrop over trees/highway,05/02/2011,61.2180556,-149.9002778
03/31/2008 00:00,Eagle River,AK,Light,~20 min,Zig-zaging light moves over north horizon of Alaska town.,03/31/2008,45.9171763,-89.2442988
03/29/2008 11:00,Anchorage,AK,Disk,45 minutes,"it was a definite flying saucer, that made no sound, no lights, rusty colored round",03/31/2008,61.2180556,-149.9002778
03/29/2008 11:00,Anchorage,AK,Disk,45 minutes,Brown rustic red sideways disc shaped UFO and hovering very slowly through the air with pauses at random.,03/31/2008,61.2180556,-149.9002778
