time,city,state,shape,duration,summary,posted,lat,lon
11/02/2008 01:40,Port Hueneme,CA,Light,30 plus minutes,I witnessed two objects each comprised of five lights at the Port Hueneme Beach in CA.,01/10/2009,34.1477829,-119.1951074
11/01/2008 23:45,Redding,CA,Sphere,2 minutes,"Redding, CA Unidentified Flying Object in bright orange light seen with brother and two other friends on November 2008.",06/03/2010,40.5865396,-122.3916754
11/01/2008 22:30,Los Angeles,CA,Disk,2 minutes,"Very clear ufo sighting, small craft. Los Angeles.",01/10/2009,34.0522342,-118.2436849
11/01/2008 21:15,El Cajon,CA,Oval,15-20 minutes,TWO LARGE WHITE CIRCULAR LIGHTS DANCED OVER EL CAJON CA.,01/10/2009,32.7947731,-116.9625269
10/31/2008 22:46,South Gate,CA,Fireball,2 Secnds,"Driving north on 710 before Atlantic Blvd, fireball (shooting Star?)straked across sky Northwest, streaks of blue,green,yellow high rat",01/10/2009,33.954737,-118.2120161
10/31/2008 22:40,Hermosa Beach,CA,Triangle,10 minutes,"Two lighted objects dancing in the sky above Los Angeles on Oct. 31, 2008",01/10/2009,33.8622366,-118.3995194
10/31/2008 22:00,Los Angeles,CA,Fireball,8 seconds,"Green fireball moving very low across the sky, throwing off sparks like fireworks.",01/10/2009,34.0522342,-118.2436849
10/31/2008 21:05,Orange,CA,Unknown,10 minutes,"Lights over Orange, Ca",01/10/2009,33.7877944,-117.8531119
10/30/2008 19:50,Palos Verdes,CA,Circle,2-3 minutes,Circular Flying Craft with glowing tube of light around perimeter seen less than 1000 yards away.,01/10/2009,33.7444613,-118.3870173
10/30/2008 19:00,Newport Beach,CA,Sphere,1-2 seconds,Ball of light at high speed.  ((NUFORC Note:  Possible meteor.  PD)),10/31/2008,33.6189101,-117.9289469
10/30/2008 18:00,El Dorado Hills,CA,Triangle,5 minutes,Large Black Floating Buidling (Box),07/14/2013,38.6857367,-121.082167
10/30/2008 06:00,Duarte,CA,Light,20 seconds,Light far beyond mountains flew across very fast and then takes off in a vertical direction,10/31/2008,34.1394513,-117.9772873
10/29/2008 19:45,Carson/Los Angeles City,CA,Light,less than one second,"Observed a high-speed white light, very low altitude, parallel to ground, less than one second.",10/31/2008,33.8316745,-118.281693
10/29/2008 19:30,La Jolla,CA,Triangle,10 sec,A massive semi-transparent liquid blackish triangular shape,06/09/2009,32.8328112,-117.2712717
10/28/2008 19:47,Sylmar,CA,Disk,30 seconds,UFO sighted at 7:47PM Tuesday night in the san fernando valley area of California!,01/10/2009,34.3058279,-118.4571974
10/28/2008 19:00,San Jose,CA,Formation,5 seconds,Two diagonal lights flying away in southeastern sky,01/10/2009,37.3393857,-121.8949555
10/28/2008 03:00,Escondido,CA,Oval,5 seconds,Spherical craft with flashing lights around it.,10/31/2008,33.1192068,-117.086421
10/27/2008 16:23,Victorville,CA,Light,10-15 SEC,Fast moving pinpoint of light moving and maneuvering unlike any aircraft known,10/31/2008,34.5361067,-117.2911565
10/26/2008 22:30,Palm Springs,CA,Disk,20 to 30 seconds,"4 round disc flying over palm springs on the night of oct. 26, 2008",10/31/2008,33.8302961,-116.5452921
10/26/2008 22:00,El Centro,CA,Cylinder,2-5 minutes,Dark illuminated object landed on my neighbors roof!!!,01/10/2009,32.792,-115.5630514
10/25/2008 23:30,Wonder Valley,CA,Disk,10 min,UFO hoovered less than 50 yards from us,10/31/2008,34.155373,-115.8758354
